,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
24,PHI,62.0,Larry Brown,2002-03,12.0,6.0,6.0,0.5,82,48.0,34.0,0.585,2.0
25,DET,63.0,Larry Brown,2003-04,23.0,16.0,7.0,0.696,82,54.0,28.0,0.659,2.0
26,DET,64.0,Larry Brown,2004-05,25.0,15.0,10.0,0.6,82,54.0,28.0,0.659,1.0
27,NYK,65.0,Larry Brown,2005-06,,,,,82,23.0,59.0,0.28,5.0
28,CHA,68.0,Larry Brown,2008-09,,,,,82,35.0,47.0,0.42700000000000005,4.0
29,CHA,69.0,Larry Brown,2009-10,4.0,0.0,4.0,0.0,82,44.0,38.0,0.537,4.0
30,CHA,70.0,Larry Brown,2010-11,,,,,28,9.0,19.0,0.321,4.0
31,,,Larry Brown,Career,235.0,120.0,115.0,0.511,2338,1327.0,1011.0,0.568,
7,CLE,35.0,Mike Brown,2005-06,13.0,7.0,6.0,0.5379999999999999,82,50.0,32.0,0.61,2.0
8,CLE,36.0,Mike Brown,2006-07,20.0,12.0,8.0,0.6,82,50.0,32.0,0.61,2.0
9,CLE,37.0,Mike Brown,2007-08,13.0,7.0,6.0,0.5379999999999999,82,45.0,37.0,0.5489999999999999,2.0
10,CLE,38.0,Mike Brown,2008-09,14.0,10.0,4.0,0.7140000000000001,82,66.0,16.0,0.805,1.0
11,CLE,39.0,Mike Brown,2009-10,11.0,6.0,5.0,0.545,82,61.0,21.0,0.7440000000000001,1.0
12,LAL,41.0,Mike Brown,2011-12,12.0,5.0,7.0,0.41700000000000004,66,41.0,25.0,0.621,1.0
13,LAL,42.0,Mike Brown,2012-13,,,,,5,1.0,4.0,0.2,3.0
14,CLE,43.0,Mike Brown,2013-14,,,,,82,33.0,49.0,0.402,3.0
18,,,Mike Brown,Career,83.0,47.0,36.0,0.5660000000000001,563,347.0,216.0,0.616,
17,BRK,55.0,Tony Brown,2015-16,,,,,45,11.0,34.0,0.244,4.0
21,,,Tony Brown,Career,,,,,45,11.0,34.0,0.244,
3,CHS,42.0,Philip Brownstein,1948-49,,,,,11,10.0,1.0,0.909,3.0
4,CHS,43.0,Philip Brownstein,1949-50,2.0,0.0,2.0,0.0,68,40.0,28.0,0.588,4.0
5,,,Philip Brownstein,Career,2.0,0.0,2.0,0.0,79,50.0,29.0,0.633,
0,DAL,39.0,Quinn Buckner,1993-94,,,,,82,13.0,69.0,0.159,6.0
1,,,Quinn Buckner,Career,,,,,82,13.0,69.0,0.159,
1,SEA,39.0,Bucky Buckwalter,1972-73,,,,,37,13.0,24.0,0.35100000000000003,4.0
2,UTS,41.0,Bucky Buckwalter,1974-75,,,,,56,24.0,32.0,0.429,4.0
10,,,Bucky Buckwalter,Career,,,,,93,37.0,56.0,0.39799999999999996,
17,ATL,44.0,Mike Budenholzer,2013-14,7.0,3.0,4.0,0.429,82,38.0,44.0,0.46299999999999997,4.0
18,ATL,45.0,Mike Budenholzer,2014-15,16.0,8.0,8.0,0.5,82,60.0,22.0,0.732,1.0
19,ATL,46.0,Mike Budenholzer,2015-16,10.0,4.0,6.0,0.4,82,48.0,34.0,0.585,2.0
20,ATL,47.0,Mike Budenholzer,2016-17,6.0,2.0,4.0,0.33299999999999996,82,43.0,39.0,0.524,2.0
21,ATL,48.0,Mike Budenholzer,2017-18,,,,,82,24.0,58.0,0.293,5.0
22,MIL,49.0,Mike Budenholzer,2018-19,,,,,74,55.0,19.0,0.743,1.0
23,,,Mike Budenholzer,Career,39.0,17.0,22.0,0.436,484,268.0,216.0,0.5539999999999999,
0,BLB,25.0,Walt Budko,1950-51,,,,,29,10.0,19.0,0.345,5.0
1,,,Walt Budko,Career,,,,,29,10.0,19.0,0.345,
1,DET,30.0,Donnie Butcher,1966-67,,,,,8,2.0,6.0,0.25,5.0
2,DET,31.0,Donnie Butcher,1967-68,6.0,2.0,4.0,0.33299999999999996,82,40.0,42.0,0.488,4.0
3,DET,32.0,Donnie Butcher,1968-69,,,,,22,10.0,12.0,0.455,6.0
4,,,Donnie Butcher,Career,6.0,2.0,4.0,0.33299999999999996,112,52.0,60.0,0.46399999999999997,
12,DEN,50.0,Jeff Bzdelik,2002-03,,,,,82,17.0,65.0,0.207,7.0
13,DEN,51.0,Jeff Bzdelik,2003-04,5.0,1.0,4.0,0.2,82,43.0,39.0,0.524,6.0
14,DEN,52.0,Jeff Bzdelik,2004-05,,,,,28,13.0,15.0,0.46399999999999997,2.0
20,,,Jeff Bzdelik,Career,5.0,1.0,4.0,0.2,192,73.0,119.0,0.38,
0,NJN,37.0,John Calipari,1996-97,,,,,82,26.0,56.0,0.317,5.0
1,NJN,38.0,John Calipari,1997-98,3.0,0.0,3.0,0.0,82,43.0,39.0,0.524,3.0
2,NJN,39.0,John Calipari,1998-99,,,,,20,3.0,17.0,0.15,7.0
4,,,John Calipari,Career,3.0,0.0,3.0,0.0,184,72.0,112.0,0.391,
0,VIR,28.0,Mack Calvin,1975-76,,,,,6,0.0,6.0,0.0,7.0
8,LAC,44.0,Mack Calvin,1991-92,,,,,2,1.0,1.0,0.5,5.0
9,,,Mack Calvin,Career,,,,,8,1.0,7.0,0.125,
3,POR,,Kaleb Canales,2011-12,,,,,23,8.0,15.0,0.348,4.0
11,,,Kaleb Canales,Career,,,,,23,8.0,15.0,0.348,
0,POR,45.0,P.J. Carlesimo,1994-95,3.0,0.0,3.0,0.0,82,44.0,38.0,0.537,4.0
1,POR,46.0,P.J. Carlesimo,1995-96,5.0,2.0,3.0,0.4,82,44.0,38.0,0.537,3.0
2,POR,47.0,P.J. Carlesimo,1996-97,4.0,1.0,3.0,0.25,82,49.0,33.0,0.598,3.0
3,GSW,48.0,P.J. Carlesimo,1997-98,,,,,82,19.0,63.0,0.23199999999999998,6.0
4,GSW,49.0,P.J. Carlesimo,1998-99,,,,,50,21.0,29.0,0.42,6.0
5,GSW,50.0,P.J. Carlesimo,1999-00,,,,,27,6.0,21.0,0.222,6.0
11,SEA,58.0,P.J. Carlesimo,2007-08,,,,,82,20.0,62.0,0.244,5.0
12,OKC,59.0,P.J. Carlesimo,2008-09,,,,,13,1.0,12.0,0.077,5.0
15,BRK,63.0,P.J. Carlesimo,2012-13,7.0,3.0,4.0,0.429,54,35.0,19.0,0.648,2.0
16,,,P.J. Carlesimo,Career,19.0,6.0,13.0,0.316,554,239.0,315.0,0.431,
11,DET,42.0,Rick Carlisle,2001-02,10.0,4.0,6.0,0.4,82,50.0,32.0,0.61,1.0
12,DET,43.0,Rick Carlisle,2002-03,17.0,8.0,9.0,0.47100000000000003,82,50.0,32.0,0.61,1.0
13,IND,44.0,Rick Carlisle,2003-04,16.0,10.0,6.0,0.625,82,61.0,21.0,0.7440000000000001,1.0
14,IND,45.0,Rick Carlisle,2004-05,13.0,6.0,7.0,0.462,82,44.0,38.0,0.537,3.0
15,IND,46.0,Rick Carlisle,2005-06,6.0,2.0,4.0,0.33299999999999996,82,41.0,41.0,0.5,3.0
16,IND,47.0,Rick Carlisle,2006-07,,,,,82,35.0,47.0,0.42700000000000005,4.0
17,DAL,49.0,Rick Carlisle,2008-09,10.0,5.0,5.0,0.5,82,50.0,32.0,0.61,3.0
18,DAL,50.0,Rick Carlisle,2009-10,6.0,2.0,4.0,0.33299999999999996,82,55.0,27.0,0.6709999999999999,1.0
19,DAL,51.0,Rick Carlisle,2010-11,21.0,16.0,5.0,0.762,82,57.0,25.0,0.695,2.0
20,DAL,52.0,Rick Carlisle,2011-12,4.0,0.0,4.0,0.0,66,36.0,30.0,0.545,3.0
21,DAL,53.0,Rick Carlisle,2012-13,,,,,82,41.0,41.0,0.5,4.0
22,DAL,54.0,Rick Carlisle,2013-14,7.0,3.0,4.0,0.429,82,49.0,33.0,0.598,4.0
23,DAL,55.0,Rick Carlisle,2014-15,5.0,1.0,4.0,0.2,82,50.0,32.0,0.61,4.0
24,DAL,56.0,Rick Carlisle,2015-16,5.0,1.0,4.0,0.2,82,42.0,40.0,0.512,2.0
25,DAL,57.0,Rick Carlisle,2016-17,,,,,82,33.0,49.0,0.402,5.0
26,DAL,58.0,Rick Carlisle,2017-18,,,,,82,24.0,58.0,0.293,4.0
27,DAL,59.0,Rick Carlisle,2018-19,,,,,73,29.0,44.0,0.397,5.0
28,,,Rick Carlisle,Career,120.0,58.0,62.0,0.483,1369,747.0,622.0,0.546,
0,BOS,45.0,M.L. Carr,1995-96,,,,,82,33.0,49.0,0.402,5.0
1,BOS,46.0,M.L. Carr,1996-97,,,,,82,15.0,67.0,0.183,7.0
2,,,M.L. Carr,Career,,,,,164,48.0,116.0,0.293,
7,BOS,,John Carroll,2003-04,4.0,0.0,4.0,0.0,36,14.0,22.0,0.389,4.0
8,,,John Carroll,Career,4.0,0.0,4.0,0.0,36,14.0,22.0,0.389,
5,TOR,39.0,Butch Carter,1997-98,,,,,33,5.0,28.0,0.152,8.0
6,TOR,40.0,Butch Carter,1998-99,,,,,50,23.0,27.0,0.46,6.0
7,TOR,41.0,Butch Carter,1999-00,3.0,0.0,3.0,0.0,82,45.0,37.0,0.5489999999999999,3.0
8,,,Butch Carter,Career,3.0,0.0,3.0,0.0,165,73.0,92.0,0.442,
11,PHI,47.0,Fred Carter,1992-93,,,,,26,7.0,19.0,0.26899999999999996,6.0
12,PHI,48.0,Fred Carter,1993-94,,,,,82,25.0,57.0,0.305,6.0
13,,,Fred Carter,Career,,,,,108,32.0,76.0,0.29600000000000004,
5,CHI,44.0,Bill Cartwright,2001-02,,,,,55,17.0,38.0,0.309,8.0
6,CHI,45.0,Bill Cartwright,2002-03,,,,,82,30.0,52.0,0.366,6.0
7,CHI,46.0,Bill Cartwright,2003-04,,,,,14,4.0,10.0,0.28600000000000003,8.0
16,,,Bill Cartwright,Career,,,,,151,51.0,100.0,0.33799999999999997,
6,LAC,,Don Casey,1988-89,,,,,44,11.0,33.0,0.25,7.0
7,LAC,,Don Casey,1989-90,,,,,82,30.0,52.0,0.366,6.0
17,NJN,,Don Casey,1998-99,,,,,30,13.0,17.0,0.433,7.0
18,NJN,,Don Casey,1999-00,,,,,82,31.0,51.0,0.37799999999999995,6.0
19,,,Don Casey,Career,,,,,238,85.0,153.0,0.35700000000000004,
11,MIN,48.0,Dwane Casey,2005-06,,,,,82,33.0,49.0,0.402,4.0
12,MIN,49.0,Dwane Casey,2006-07,,,,,40,20.0,20.0,0.5,4.0
16,TOR,54.0,Dwane Casey,2011-12,,,,,66,23.0,43.0,0.348,4.0
17,TOR,55.0,Dwane Casey,2012-13,,,,,82,34.0,48.0,0.415,5.0
18,TOR,56.0,Dwane Casey,2013-14,7.0,3.0,4.0,0.429,82,48.0,34.0,0.585,1.0
19,TOR,57.0,Dwane Casey,2014-15,4.0,0.0,4.0,0.0,82,49.0,33.0,0.598,1.0
20,TOR,58.0,Dwane Casey,2015-16,20.0,10.0,10.0,0.5,82,56.0,26.0,0.6829999999999999,1.0
21,TOR,59.0,Dwane Casey,2016-17,10.0,4.0,6.0,0.4,82,51.0,31.0,0.622,2.0
22,TOR,60.0,Dwane Casey,2017-18,10.0,4.0,6.0,0.4,82,59.0,23.0,0.72,1.0
23,DET,61.0,Dwane Casey,2018-19,,,,,73,37.0,36.0,0.507,3.0
24,,,Dwane Casey,Career,51.0,21.0,30.0,0.41200000000000003,753,410.0,343.0,0.544,
0,MNL,,John Castellani,1959-60,,,,,36,11.0,25.0,0.306,3.0
1,,,John Castellani,Career,,,,,36,11.0,25.0,0.306,
0,SYR,32.0,Al Cervi,1949-50,11.0,6.0,5.0,0.545,64,51.0,13.0,0.797,1.0
1,SYR,33.0,Al Cervi,1950-51,7.0,4.0,3.0,0.5710000000000001,66,32.0,34.0,0.485,4.0
2,SYR,34.0,Al Cervi,1951-52,7.0,3.0,4.0,0.429,66,40.0,26.0,0.606,1.0
3,SYR,35.0,Al Cervi,1952-53,2.0,0.0,2.0,0.0,71,47.0,24.0,0.662,2.0
4,SYR,36.0,Al Cervi,1953-54,13.0,9.0,4.0,0.6920000000000001,72,42.0,30.0,0.583,2.0
5,SYR,37.0,Al Cervi,1954-55,11.0,7.0,4.0,0.636,72,43.0,29.0,0.597,1.0
6,SYR,38.0,Al Cervi,1955-56,8.0,4.0,4.0,0.5,72,35.0,37.0,0.486,3.0
7,SYR,39.0,Al Cervi,1956-57,,,,,12,4.0,8.0,0.33299999999999996,2.0
8,PHW,41.0,Al Cervi,1958-59,,,,,72,32.0,40.0,0.444,4.0
9,,,Al Cervi,Career,59.0,33.0,26.0,0.5589999999999999,567,326.0,241.0,0.575,
5,LAC,38.0,Don Chaney,1984-85,,,,,21,9.0,12.0,0.429,5.0
6,LAC,39.0,Don Chaney,1985-86,,,,,82,32.0,50.0,0.39,4.0
7,LAC,40.0,Don Chaney,1986-87,,,,,82,12.0,70.0,0.146,6.0
9,HOU,42.0,Don Chaney,1988-89,4.0,1.0,3.0,0.25,82,45.0,37.0,0.5489999999999999,2.0
10,HOU,43.0,Don Chaney,1989-90,4.0,1.0,3.0,0.25,82,41.0,41.0,0.5,5.0
11,HOU,44.0,Don Chaney,1990-91,3.0,0.0,3.0,0.0,82,52.0,30.0,0.634,3.0
12,HOU,45.0,Don Chaney,1991-92,,,,,52,26.0,26.0,0.5,3.0
14,DET,47.0,Don Chaney,1993-94,,,,,82,20.0,62.0,0.244,7.0
15,DET,48.0,Don Chaney,1994-95,,,,,82,28.0,54.0,0.341,7.0
23,NYK,55.0,Don Chaney,2001-02,,,,,63,20.0,43.0,0.317,7.0
24,NYK,56.0,Don Chaney,2002-03,,,,,82,37.0,45.0,0.451,6.0
25,NYK,57.0,Don Chaney,2003-04,,,,,39,15.0,24.0,0.385,3.0
26,,,Don Chaney,Career,11.0,2.0,9.0,0.182,831,337.0,494.0,0.406,
6,POR,45.0,Maurice Cheeks,2001-02,3.0,0.0,3.0,0.0,82,49.0,33.0,0.598,3.0
7,POR,46.0,Maurice Cheeks,2002-03,7.0,3.0,4.0,0.429,82,50.0,32.0,0.61,3.0
8,POR,47.0,Maurice Cheeks,2003-04,,,,,82,41.0,41.0,0.5,3.0
9,POR,48.0,Maurice Cheeks,2004-05,,,,,55,22.0,33.0,0.4,4.0
10,PHI,49.0,Maurice Cheeks,2005-06,,,,,82,38.0,44.0,0.46299999999999997,2.0
11,PHI,50.0,Maurice Cheeks,2006-07,,,,,82,35.0,47.0,0.42700000000000005,3.0
12,PHI,51.0,Maurice Cheeks,2007-08,6.0,2.0,4.0,0.33299999999999996,82,40.0,42.0,0.488,3.0
13,PHI,52.0,Maurice Cheeks,2008-09,,,,,23,9.0,14.0,0.391,2.0
18,DET,57.0,Maurice Cheeks,2013-14,,,,,50,21.0,29.0,0.42,4.0
23,,,Maurice Cheeks,Career,16.0,5.0,11.0,0.313,620,305.0,315.0,0.49200000000000005,
7,DAL,47.0,Jim Cleamons,1996-97,,,,,82,24.0,58.0,0.293,4.0
8,DAL,48.0,Jim Cleamons,1997-98,,,,,16,4.0,12.0,0.25,5.0
24,,,Jim Cleamons,Career,,,,,98,28.0,70.0,0.28600000000000003,
0,CLR,,Roy Clifford,1946-47,3.0,1.0,2.0,0.33299999999999996,23,13.0,10.0,0.565,3.0
1,,,Roy Clifford,Career,3.0,1.0,2.0,0.33299999999999996,23,13.0,10.0,0.565,
13,CHA,52.0,Steve Clifford,2013-14,4.0,0.0,4.0,0.0,82,43.0,39.0,0.524,3.0
14,CHO,53.0,Steve Clifford,2014-15,,,,,82,33.0,49.0,0.402,4.0
15,CHO,54.0,Steve Clifford,2015-16,7.0,3.0,4.0,0.429,82,48.0,34.0,0.585,3.0
16,CHO,55.0,Steve Clifford,2016-17,,,,,82,36.0,46.0,0.439,4.0
17,CHO,56.0,Steve Clifford,2017-18,,,,,82,36.0,46.0,0.439,3.0
18,ORL,57.0,Steve Clifford,2018-19,,,,,74,36.0,38.0,0.486,2.0
19,,,Steve Clifford,Career,11.0,3.0,8.0,0.273,484,232.0,252.0,0.479,
0,NYK,,Neil Cohalan,1946-47,5.0,2.0,3.0,0.4,60,33.0,27.0,0.55,3.0
1,,,Neil Cohalan,Career,5.0,2.0,3.0,0.4,60,33.0,27.0,0.55,
0,PHO,30.0,Jerry Colangelo,1969-70,7.0,3.0,4.0,0.429,44,24.0,20.0,0.545,4.0
1,PHO,33.0,Jerry Colangelo,1972-73,,,,,75,35.0,40.0,0.467,3.0
2,,,Jerry Colangelo,Career,7.0,3.0,4.0,0.429,119,59.0,60.0,0.496,
0,CHI,35.0,Doug Collins,1986-87,3.0,0.0,3.0,0.0,82,40.0,42.0,0.488,5.0
1,CHI,36.0,Doug Collins,1987-88,10.0,4.0,6.0,0.4,82,50.0,32.0,0.61,2.0
2,CHI,37.0,Doug Collins,1988-89,17.0,9.0,8.0,0.529,82,47.0,35.0,0.573,5.0
3,DET,44.0,Doug Collins,1995-96,3.0,0.0,3.0,0.0,82,46.0,36.0,0.561,5.0
4,DET,45.0,Doug Collins,1996-97,5.0,2.0,3.0,0.4,82,54.0,28.0,0.659,3.0
5,DET,46.0,Doug Collins,1997-98,,,,,45,21.0,24.0,0.467,6.0
6,WAS,50.0,Doug Collins,2001-02,,,,,82,37.0,45.0,0.451,5.0
7,WAS,51.0,Doug Collins,2002-03,,,,,82,37.0,45.0,0.451,5.0
8,PHI,59.0,Doug Collins,2010-11,5.0,1.0,4.0,0.2,82,41.0,41.0,0.5,3.0
9,PHI,60.0,Doug Collins,2011-12,13.0,7.0,6.0,0.5379999999999999,66,35.0,31.0,0.53,3.0
10,PHI,61.0,Doug Collins,2012-13,,,,,82,34.0,48.0,0.415,4.0
11,,,Doug Collins,Career,56.0,23.0,33.0,0.41100000000000003,849,442.0,407.0,0.521,
3,DEN,48.0,Michael Cooper,2004-05,,,,,14,4.0,10.0,0.28600000000000003,2.0
4,,,Michael Cooper,Career,,,,,14,4.0,10.0,0.28600000000000003,
7,UTA,48.0,Tyrone Corbin,2010-11,,,,,28,8.0,20.0,0.28600000000000003,4.0
8,UTA,49.0,Tyrone Corbin,2011-12,4.0,0.0,4.0,0.0,66,36.0,30.0,0.545,3.0
9,UTA,50.0,Tyrone Corbin,2012-13,,,,,82,43.0,39.0,0.524,3.0
10,UTA,51.0,Tyrone Corbin,2013-14,,,,,82,25.0,57.0,0.305,5.0
12,SAC,52.0,Tyrone Corbin,2014-15,,,,,28,7.0,21.0,0.25,4.0
16,,,Tyrone Corbin,Career,4.0,0.0,4.0,0.0,286,119.0,167.0,0.41600000000000004,
0,MIL,37.0,Larry Costello,1968-69,,,,,82,27.0,55.0,0.32899999999999996,7.0
1,MIL,38.0,Larry Costello,1969-70,10.0,5.0,5.0,0.5,82,56.0,26.0,0.6829999999999999,2.0
2,MIL,39.0,Larry Costello,1970-71,14.0,12.0,2.0,0.857,82,66.0,16.0,0.805,1.0
3,MIL,40.0,Larry Costello,1971-72,11.0,6.0,5.0,0.545,82,63.0,19.0,0.768,1.0
4,MIL,41.0,Larry Costello,1972-73,6.0,2.0,4.0,0.33299999999999996,82,60.0,22.0,0.732,1.0
5,MIL,42.0,Larry Costello,1973-74,16.0,11.0,5.0,0.688,82,59.0,23.0,0.72,1.0
6,MIL,43.0,Larry Costello,1974-75,,,,,82,38.0,44.0,0.46299999999999997,4.0
7,MIL,44.0,Larry Costello,1975-76,3.0,1.0,2.0,0.33299999999999996,82,38.0,44.0,0.46299999999999997,1.0
8,MIL,45.0,Larry Costello,1976-77,,,,,18,3.0,15.0,0.16699999999999998,6.0
9,CHI,47.0,Larry Costello,1978-79,,,,,56,20.0,36.0,0.35700000000000004,5.0
10,,,Larry Costello,Career,60.0,37.0,23.0,0.617,730,430.0,300.0,0.589,
0,CIN,41.0,Bob Cousy,1969-70,,,,,82,36.0,46.0,0.439,5.0
1,CIN,42.0,Bob Cousy,1970-71,,,,,82,33.0,49.0,0.402,3.0
2,CIN,43.0,Bob Cousy,1971-72,,,,,82,30.0,52.0,0.366,3.0
3,KCO,44.0,Bob Cousy,1972-73,,,,,82,36.0,46.0,0.439,4.0
4,KCO,45.0,Bob Cousy,1973-74,,,,,20,6.0,14.0,0.3,4.0
5,,,Bob Cousy,Career,,,,,348,141.0,207.0,0.405,
0,BOS,30.0,Dave Cowens,1978-79,,,,,68,27.0,41.0,0.397,5.0
3,CHH,48.0,Dave Cowens,1996-97,3.0,0.0,3.0,0.0,82,54.0,28.0,0.659,4.0
4,CHH,49.0,Dave Cowens,1997-98,9.0,4.0,5.0,0.444,82,51.0,31.0,0.622,3.0
5,CHH,50.0,Dave Cowens,1998-99,,,,,15,4.0,11.0,0.267,5.0
7,GSW,52.0,Dave Cowens,2000-01,,,,,82,17.0,65.0,0.207,7.0
8,GSW,53.0,Dave Cowens,2001-02,,,,,23,8.0,15.0,0.348,7.0
11,,,Dave Cowens,Career,12.0,4.0,8.0,0.33299999999999996,352,161.0,191.0,0.457,
0,PHI,34.0,Billy Cunningham,1977-78,10.0,6.0,4.0,0.6,76,53.0,23.0,0.6970000000000001,1.0
1,PHI,35.0,Billy Cunningham,1978-79,9.0,5.0,4.0,0.556,82,47.0,35.0,0.573,2.0
2,PHI,36.0,Billy Cunningham,1979-80,18.0,12.0,6.0,0.667,82,59.0,23.0,0.72,2.0
3,PHI,37.0,Billy Cunningham,1980-81,16.0,9.0,7.0,0.563,82,62.0,20.0,0.7559999999999999,2.0
4,PHI,38.0,Billy Cunningham,1981-82,21.0,12.0,9.0,0.5710000000000001,82,58.0,24.0,0.7070000000000001,2.0
5,PHI,39.0,Billy Cunningham,1982-83,13.0,12.0,1.0,0.9229999999999999,82,65.0,17.0,0.7929999999999999,1.0
6,PHI,40.0,Billy Cunningham,1983-84,5.0,2.0,3.0,0.4,82,52.0,30.0,0.634,2.0
7,PHI,41.0,Billy Cunningham,1984-85,13.0,8.0,5.0,0.615,82,58.0,24.0,0.7070000000000001,2.0
8,,,Billy Cunningham,Career,105.0,66.0,39.0,0.629,650,454.0,196.0,0.698,
1,DET,40.0,Michael Curry,2008-09,4.0,0.0,4.0,0.0,82,39.0,43.0,0.47600000000000003,3.0
5,,,Michael Curry,Career,4.0,0.0,4.0,0.0,82,39.0,43.0,0.47600000000000003,
0,DTF,,Glenn Curtis,1946-47,,,,,34,12.0,22.0,0.353,4.0
1,,,Glenn Curtis,Career,,,,,34,12.0,22.0,0.353,
1,DEN,47.0,Mike D'Antoni,1998-99,,,,,50,14.0,36.0,0.28,6.0
3,PHO,52.0,Mike D'Antoni,2003-04,,,,,61,21.0,40.0,0.344,6.0
4,PHO,53.0,Mike D'Antoni,2004-05,15.0,9.0,6.0,0.6,82,62.0,20.0,0.7559999999999999,1.0
5,PHO,54.0,Mike D'Antoni,2005-06,20.0,10.0,10.0,0.5,82,54.0,28.0,0.659,1.0
6,PHO,55.0,Mike D'Antoni,2006-07,11.0,6.0,5.0,0.545,82,61.0,21.0,0.7440000000000001,1.0
7,PHO,56.0,Mike D'Antoni,2007-08,5.0,1.0,4.0,0.2,82,55.0,27.0,0.6709999999999999,2.0
8,NYK,57.0,Mike D'Antoni,2008-09,,,,,82,32.0,50.0,0.39,5.0
9,NYK,58.0,Mike D'Antoni,2009-10,,,,,82,29.0,53.0,0.354,3.0
10,NYK,59.0,Mike D'Antoni,2010-11,4.0,0.0,4.0,0.0,82,42.0,40.0,0.512,2.0
11,NYK,60.0,Mike D'Antoni,2011-12,,,,,42,18.0,24.0,0.429,2.0
12,LAL,61.0,Mike D'Antoni,2012-13,4.0,0.0,4.0,0.0,72,40.0,32.0,0.556,3.0
13,LAL,62.0,Mike D'Antoni,2013-14,,,,,82,27.0,55.0,0.32899999999999996,5.0
15,HOU,65.0,Mike D'Antoni,2016-17,11.0,6.0,5.0,0.545,82,55.0,27.0,0.6709999999999999,2.0
16,HOU,66.0,Mike D'Antoni,2017-18,17.0,11.0,6.0,0.647,82,65.0,17.0,0.7929999999999999,1.0
17,HOU,67.0,Mike D'Antoni,2018-19,,,,,74,47.0,27.0,0.635,1.0
18,,,Mike D'Antoni,Career,87.0,43.0,44.0,0.494,1119,622.0,497.0,0.556,
4,CLE,51.0,Chuck Daly,1981-82,,,,,41,9.0,32.0,0.22,6.0
5,DET,53.0,Chuck Daly,1983-84,5.0,2.0,3.0,0.4,82,49.0,33.0,0.598,2.0
6,DET,54.0,Chuck Daly,1984-85,9.0,5.0,4.0,0.556,82,46.0,36.0,0.561,2.0
7,DET,55.0,Chuck Daly,1985-86,4.0,1.0,3.0,0.25,82,46.0,36.0,0.561,3.0
8,DET,56.0,Chuck Daly,1986-87,15.0,10.0,5.0,0.667,82,52.0,30.0,0.634,2.0
9,DET,57.0,Chuck Daly,1987-88,23.0,14.0,9.0,0.609,82,54.0,28.0,0.659,1.0
10,DET,58.0,Chuck Daly,1988-89,17.0,15.0,2.0,0.882,82,63.0,19.0,0.768,1.0
11,DET,59.0,Chuck Daly,1989-90,20.0,15.0,5.0,0.75,82,59.0,23.0,0.72,1.0
12,DET,60.0,Chuck Daly,1990-91,15.0,7.0,8.0,0.467,82,50.0,32.0,0.61,2.0
13,DET,61.0,Chuck Daly,1991-92,5.0,2.0,3.0,0.4,82,48.0,34.0,0.585,3.0
14,NJN,62.0,Chuck Daly,1992-93,5.0,2.0,3.0,0.4,82,43.0,39.0,0.524,3.0
15,NJN,63.0,Chuck Daly,1993-94,4.0,1.0,3.0,0.25,82,45.0,37.0,0.5489999999999999,3.0
16,ORL,67.0,Chuck Daly,1997-98,,,,,82,41.0,41.0,0.5,5.0
17,ORL,68.0,Chuck Daly,1998-99,4.0,1.0,3.0,0.25,50,33.0,17.0,0.66,2.0
18,,,Chuck Daly,Career,126.0,75.0,51.0,0.595,1075,638.0,437.0,0.593,
5,IND,44.0,Mel Daniels,1988-89,,,,,2,0.0,2.0,0.0,6.0
8,,,Mel Daniels,Career,,,,,2,0.0,2.0,0.0,
0,DNN,27.0,Jimmy Darden,1949-50,,,,,62,11.0,51.0,0.177,6.0
1,,,Jimmy Darden,Career,,,,,62,11.0,51.0,0.177,
6,PHI,41.0,Johnny Davis,1996-97,,,,,82,22.0,60.0,0.268,6.0
13,ORL,48.0,Johnny Davis,2003-04,,,,,71,20.0,51.0,0.282,7.0
14,ORL,49.0,Johnny Davis,2004-05,,,,,64,31.0,33.0,0.484,3.0
19,MEM,53.0,Johnny Davis,2008-09,,,,,2,0.0,2.0,0.0,5.0
25,,,Johnny Davis,Career,,,,,219,73.0,146.0,0.33299999999999996,
0,DET,24.0,Dave DeBusschere,1964-65,,,,,69,29.0,40.0,0.42,4.0
1,DET,25.0,Dave DeBusschere,1965-66,,,,,80,22.0,58.0,0.275,5.0
2,DET,26.0,Dave DeBusschere,1966-67,,,,,73,28.0,45.0,0.384,5.0
3,,,Dave DeBusschere,Career,,,,,222,79.0,143.0,0.35600000000000004,
0,CLR,48.0,Dutch Dehnert,1946-47,,,,,37,17.0,20.0,0.45899999999999996,3.0
1,,,Dutch Dehnert,Career,,,,,37,17.0,20.0,0.45899999999999996,
0,CHI,42.0,Vinny Del Negro,2008-09,7.0,3.0,4.0,0.429,82,41.0,41.0,0.5,2.0
1,CHI,43.0,Vinny Del Negro,2009-10,5.0,1.0,4.0,0.2,82,41.0,41.0,0.5,3.0
2,LAC,44.0,Vinny Del Negro,2010-11,,,,,82,32.0,50.0,0.39,4.0
3,LAC,45.0,Vinny Del Negro,2011-12,11.0,4.0,7.0,0.364,66,40.0,26.0,0.606,2.0
4,LAC,46.0,Vinny Del Negro,2012-13,6.0,2.0,4.0,0.33299999999999996,82,56.0,26.0,0.6829999999999999,1.0
5,,,Vinny Del Negro,Career,29.0,10.0,19.0,0.345,394,210.0,184.0,0.5329999999999999,
