,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
10,GSW,41.0,Al Attles,1977-78,,,,,82,43.0,39.0,0.524,5.0
11,GSW,42.0,Al Attles,1978-79,,,,,82,38.0,44.0,0.46299999999999997,6.0
12,GSW,43.0,Al Attles,1979-80,,,,,61,18.0,43.0,0.295,6.0
13,GSW,44.0,Al Attles,1980-81,,,,,82,39.0,43.0,0.47600000000000003,4.0
14,GSW,45.0,Al Attles,1981-82,,,,,82,45.0,37.0,0.5489999999999999,4.0
15,GSW,46.0,Al Attles,1982-83,,,,,82,30.0,52.0,0.366,5.0
17,,,Al Attles,Career,61.0,31.0,30.0,0.508,1075,557.0,518.0,0.518,
0,WSC,29.0,Red Auerbach,1946-47,6.0,2.0,4.0,0.33299999999999996,60,49.0,11.0,0.8170000000000001,1.0
1,WSC,30.0,Red Auerbach,1947-48,,,,,48,28.0,20.0,0.583,4.0
2,WSC,31.0,Red Auerbach,1948-49,11.0,6.0,5.0,0.545,60,38.0,22.0,0.633,1.0
3,TRI,32.0,Red Auerbach,1949-50,3.0,1.0,2.0,0.33299999999999996,57,28.0,29.0,0.491,3.0
4,BOS,33.0,Red Auerbach,1950-51,2.0,0.0,2.0,0.0,69,39.0,30.0,0.565,2.0
5,BOS,34.0,Red Auerbach,1951-52,3.0,1.0,2.0,0.33299999999999996,66,39.0,27.0,0.591,2.0
6,BOS,35.0,Red Auerbach,1952-53,6.0,3.0,3.0,0.5,71,46.0,25.0,0.648,3.0
7,BOS,36.0,Red Auerbach,1953-54,6.0,2.0,4.0,0.33299999999999996,72,42.0,30.0,0.583,3.0
8,BOS,37.0,Red Auerbach,1954-55,7.0,3.0,4.0,0.429,72,36.0,36.0,0.5,3.0
9,BOS,38.0,Red Auerbach,1955-56,3.0,1.0,2.0,0.33299999999999996,72,39.0,33.0,0.542,2.0
10,BOS,39.0,Red Auerbach,1956-57,10.0,7.0,3.0,0.7,72,44.0,28.0,0.611,1.0
11,BOS,40.0,Red Auerbach,1957-58,11.0,6.0,5.0,0.545,72,49.0,23.0,0.6809999999999999,1.0
