,Team,coach_age,coach_name,season,playoff_games,playoff_wins,playoff_loses,playoff_W/L%,season_games,season_wins,season_loses,season_W/L%,season_position
69,TRI,32.0,Red Auerbach,1950,3.0,1.0,2.0,0.333,57,28.0,29.0,0.491,3.0
70,BOS,33.0,Red Auerbach,1951,2.0,0.0,2.0,0.0,69,39.0,30.0,0.565,2.0
71,BOS,34.0,Red Auerbach,1952,3.0,1.0,2.0,0.333,66,39.0,27.0,0.591,2.0
72,BOS,35.0,Red Auerbach,1953,6.0,3.0,3.0,0.5,71,46.0,25.0,0.648,3.0
73,BOS,36.0,Red Auerbach,1954,6.0,2.0,4.0,0.333,72,42.0,30.0,0.583,3.0
74,BOS,37.0,Red Auerbach,1955,7.0,3.0,4.0,0.429,72,36.0,36.0,0.5,3.0
75,BOS,38.0,Red Auerbach,1956,3.0,1.0,2.0,0.333,72,39.0,33.0,0.542,2.0
76,BOS,39.0,Red Auerbach,1957,10.0,7.0,3.0,0.7,72,44.0,28.0,0.611,1.0
77,BOS,40.0,Red Auerbach,1958,11.0,6.0,5.0,0.545,72,49.0,23.0,0.6809999999999999,1.0
78,BOS,41.0,Red Auerbach,1959,11.0,8.0,3.0,0.727,72,52.0,20.0,0.722,1.0
79,BOS,42.0,Red Auerbach,1960,13.0,8.0,5.0,0.615,75,59.0,16.0,0.787,1.0
80,BOS,43.0,Red Auerbach,1961,10.0,8.0,2.0,0.8,79,57.0,22.0,0.722,1.0
81,BOS,44.0,Red Auerbach,1962,14.0,8.0,6.0,0.5710000000000001,80,60.0,20.0,0.75,1.0
82,BOS,45.0,Red Auerbach,1963,13.0,8.0,5.0,0.615,80,58.0,22.0,0.725,1.0
83,BOS,46.0,Red Auerbach,1964,10.0,8.0,2.0,0.8,80,59.0,21.0,0.738,1.0
84,BOS,47.0,Red Auerbach,1965,12.0,8.0,4.0,0.667,80,62.0,18.0,0.775,1.0
85,BOS,48.0,Red Auerbach,1966,17.0,11.0,6.0,0.647,80,54.0,26.0,0.675,2.0
